census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id,income,segregation,white,income_std
27053000601,2014,11,300150500.0,145000.0,1.0,612.2806951500256,599.608012789635,-0.289380230157995,-0.16447355372193276,-0.5943642549104644,-0.09856723838404276,-0.15203016265694128,5,72386,0.1170792976260838,0.750950950950951,0.42540108452368935
27053000601,2016,5,354274500.0,166000.0,0.6758793969849246,609.4811098630167,590.3704412223726,-0.3547099487384139,-0.04268535617726222,-0.3727138203233846,-0.10362612086405938,-0.16892879083867043,7,78854,0.054686432661635,0.7428232033260741,0.6492550545818893
27053000601,2017,7,392579500.0,180000.0,0.676737160120846,623.205101219747,591.8550760629196,-0.33293337587827426,0.04350740317069071,-0.2249468639319981,-0.0788267122685669,-0.1662128939199439,8,72904,0.0356043926917333,0.7102785406041585,0.44332878342445425
27053000601,2018,4,433072850.0,202500.0,0.6744245524296675,602.4795596838114,589.6016202099264,-0.36559823516848367,0.13462432189520265,0.012535744554158842,-0.11627800173330852,-0.1703352232904278,2,68720,0.0920949036118763,0.7677013593020897,0.2985228139248395
27053000601,2019,2,483524200.0,215500.0,0.6771673387096774,625.1089866271939,591.85941368305,-0.3873748080286233,0.24814843282926727,0.14974791834616064,-0.07538636966625857,-0.1662049589524859,3,67656,0.085263923079668,0.7456174522789248,0.2616983513178629
27053000601,2020,2,520494800.0,234500.0,0.6771673387096774,625.1089866271939,591.85941368305,-0.3873748080286233,0.33133856541638196,0.3502887877344709,-0.07538636966625857,-0.1662049589524859,9,67656,0.085263923079668,0.7456174522789248,0.2616983513178629
27053000603,2012,1,234088000.0,178000.0,1.0,1771.6546366484902,1733.2432994904998,-0.3982630944586931,-0.31312540503179154,-0.2460564291307676,1.9964346705239733,1.9217704097291017,4,70128,0.4069653047637104,0.9493243243243243,0.3472529298558762
27053000603,2013,1,215751900.0,164500.0,1.0,1771.6546366484902,1733.2432994904998,-0.3982630944586931,-0.3543847459710945,-0.3885459942224618,1.9964346705239733,1.9217704097291017,1,70128,0.4069653047637104,0.9493243243243243,0.3472529298558762
27053000603,2014,1,213662100.0,163500.0,1.0,1771.6546366484902,1733.2509318730706,-0.3982630944586931,-0.3590871511005907,-0.3991007768218465,1.9964346705239733,1.9217843719262298,5,69875,0.3629804846006483,0.932993445010925,0.33849673714951806
27053000603,2016,2,246128600.0,187500.0,1.0,1771.6848238578664,1733.7708283626114,-0.3873748080286233,-0.28603200891627234,-0.14578599443661244,1.9964892191549233,1.9227354376263182,7,72132,0.3150749896690447,0.9222652128033767,0.4166102823599938
27053000603,2017,1,265713400.0,202250.0,1.0,1771.6848238578664,1733.7708283626114,-0.3982630944586931,-0.24196288077953332,0.009897048904312655,1.9964892191549233,1.9227354376263182,8,76818,0.2849861825918107,0.8981252210824195,0.5787901994429754
27053000603,2018,3,306496000.0,234500.0,1.0,1771.532802796588,1733.9014794336406,-0.3764865215985535,-0.15019510040141493,0.3502887877344709,1.9962145153668072,1.9229744424183017,2,82984,0.2726084716001099,0.8840070298769771,0.7921921133852853
27053000603,2019,1,317180400.0,241500.0,1.0,1771.6848238578664,1733.770828468863,-0.3982630944586931,-0.12615338475131002,0.4241722659301642,1.9964892191549233,1.9227354378206882,3,83984,0.2692393880466202,0.8920812894183602,0.8268015707226694
27053001100,2012,3,118641100.0,155750.0,1.0,575.3036189181521,554.5598740205805,-0.3764865215985535,-0.5729005484639071,-0.48090034196707837,-0.16538523602808836,-0.2344383737104865,4,52750,0.2018892451803774,0.6964285714285714,-0.25419021975318346
27053001100,2013,19,111701400.0,146250.0,1.0,575.3036189181521,555.101825381891,-0.20227393871743657,-0.5885160527596124,-0.5811707766612335,-0.16538523602808836,-0.233446962225262,1,52750,0.2018892451803774,0.6964285714285714,-0.25419021975318346
27053001100,2016,5,131322800.0,171000.0,0.6602739726027397,574.2189502883929,552.5357454264342,-0.3547099487384139,-0.544364568403264,-0.3199399073264609,-0.16734524458834735,-0.23814118632259182,7,59400,0.1204012061448022,0.712180746561886,-0.024037328459579677
27053001100,2017,3,143625500.0,189000.0,0.6648275862068965,574.6638107065163,556.2447493935416,-0.3764865215985535,-0.5166814027478649,-0.12995382053753532,-0.1665413767491568,-0.2313561694479371,8,65167,0.1156451597795388,0.6867179980750722,0.17555541200511401
27053001700,2014,5,105261700.0,131500.0,1.0,1703.0165208961253,1765.0082877294612,-0.3547099487384139,-0.6030064720879771,-0.7368538200021586,1.8724048140833502,1.9798792667526894,5,46734,0.0189481433016462,0.5683484260457093,-0.4624007150948858
27053001700,2015,3,112444000.0,143500.0,1.0,310.8635027783107,304.4783740970264,-0.3764865215985535,-0.5868450765661183,-0.6101964288095416,-0.6432315358929873,-0.6919216258364201,6,50900,0.0130975345857287,0.6145175834084761,-0.3182177158273439
27053001700,2016,18,123911200.0,158000.0,0.4028571428571428,309.79760105798744,301.94651213996946,-0.21316222514750638,-0.5610419278911452,-0.45715208111846267,-0.6451576324342805,-0.6965532536953478,7,45806,0.014595493089474,0.5920245398773006,-0.4945182915039782
27053001700,2017,5,131819700.0,170250.0,0.4028571428571428,309.79760105798744,301.94199337255253,-0.3547099487384139,-0.5432464589627211,-0.32785599427599943,-0.6451576324342805,-0.6965615200421752,8,45819,0.0272995061125347,0.5813278008298756,-0.4940683685585922
