census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id
27053001700,2018,12,155950200.0,192000.0,0.4027576197387518,310.8206259965126,302.8250577812124,-0.2819583124052707,-0.4780633109169502,-0.0975757600377551,-0.6444927021069292,-0.6951043402832762,2
27053001700,2019,134,165835400.0,220000.0,0.40431654676258993,310.87784217982073,303.75507899172766,1.0187018527531004,-0.4568667114081671,0.1974658726226122,-0.6443917866017983,-0.6934426766877176,3
27053002200,2011,6,43125000.0,87000.0,1.0,318.2070185299963,343.47979969853697,-0.34592520577371516,-0.7199917067914248,-1.2039818825141324,-0.6314648926566259,-0.6224667446380977,0
27053002200,2012,4,39781300.0,80750.0,1.0,318.2299711056985,344.14696980889426,-0.36724750356319663,-0.7271615232622618,-1.269839389804393,-0.631424409865969,-0.6212747156048983,4
27053002200,2013,4,37332100.0,73500.0,1.0,318.2070185299963,344.0847544130743,-0.36724750356319663,-0.7324132846345064,-1.3462340982610952,-0.6314648926566259,-0.6213858754979722,1
27053002200,2014,2,38817200.0,76000.0,1.0,320.78158648964023,345.02383945848413,-0.38856980135267816,-0.7292288199873072,-1.319891095344991,-0.6269239776371422,-0.6197080176002727,5
27053002200,2015,2,39163300.0,80000.0,0.46958637469586373,320.99901497550303,345.2870781700292,-0.38856980135267816,-0.7284866859799032,-1.2777422906792242,-0.6265404863902246,-0.6192376904948578,6
27053002200,2016,7,44254300.0,92000.0,0.4669926650366748,320.99901497550303,343.95110319948884,-0.3352640568789744,-0.7175701756311783,-1.151295876681924,-0.6265404863902246,-0.621624669359452,7
27053002200,2017,1,47156700.0,95500.0,0.46715328467153283,320.99901497550303,343.8214691218219,-0.3992309502474189,-0.7113466282659968,-1.1144156725993781,-0.6265404863902246,-0.6218562858270846,8
27053002200,2020,2,67738800.0,132500.0,0.47022332506203474,320.99901497550303,344.5039679301505,-0.38856980135267816,-0.6672129202226871,-0.7245392294410355,-0.6265404863902246,-0.6206368690965959,9
27053002400,2011,2,135433900.0,149000.0,1.0,1031.2896240971677,1057.381411044748,-0.38856980135267816,-0.5220559255835272,-0.5506754101947477,0.6262403085687841,0.6530571950012662,0
27053002400,2013,150,125799700.0,128500.0,1.0,1031.2896240971677,1056.3162262453795,1.1892802350689522,-0.5427143117555336,-0.7666880341068023,0.6262403085687841,0.6511540353919578,1
27053002400,2014,1,127098700.0,131750.0,1.0,1031.2896240971677,1056.5570940690604,-0.3992309502474189,-0.5399288969169963,-0.7324421303158668,0.6262403085687841,0.6515843925595435,5
27053002400,2015,1,137432500.0,142500.0,0.9673659673659674,223.99956542343637,252.64097440795672,-0.3992309502474189,-0.5177703750859901,-0.6191672177766187,-0.7976240484701078,-0.7847679559890024,6
27053002400,2016,61,169171800.0,154500.0,0.30688448074679114,225.5997724381306,252.6941934599852,0.24043798343702585,-0.44971254815389766,-0.49272080377931843,-0.7948016704318474,-0.7846728698121003,7
27053002400,2017,4,190260000.0,169750.0,0.30652680652680653,227.6765856050489,252.97511001240136,-0.36724750356319663,-0.40449362190444194,-0.3320284859910827,-0.7911386744456684,-0.7841709578091673,8
27053002400,2018,115,209018600.0,190500.0,0.30486358244365364,225.5997724381306,252.2313392087033,0.8161400237530262,-0.36427000158867096,-0.11338156178741764,-0.7948016704318474,-0.7854998488645226,2
27053002400,2019,103,231529200.0,219000.0,0.30611045828437133,225.5997724381306,252.4388823857366,0.6882062370161373,-0.31600105681239804,0.1869286714561705,-0.7948016704318474,-0.7851290326531464,3
27053002700,2011,12,79821300.0,101000.0,1.0,562.933468527058,554.0802390309806,-0.2819583124052707,-0.6413047025270541,-1.0564610661839489,-0.1998266411613143,-0.24618814013887413,0
27053002700,2012,4,77448100.0,98500.0,1.0,562.933468527058,554.0802390309806,-0.36724750356319663,-0.6463934989048961,-1.0828040691000531,-0.1998266411613143,-0.24618814013887413,4
27053002700,2013,1,74373700.0,95500.0,1.0,562.8889631340296,553.3041053136192,-0.3992309502474189,-0.6529858617837253,-1.1144156725993781,-0.1999051379074941,-0.24757485382759792,1
27053002700,2014,60,77041000.0,100000.0,1.0,562.8889631340296,553.2895907291116,0.22977683454228512,-0.6472664337630705,-1.0669982673503904,-0.1999051379074941,-0.2476007869530021,5
27053002700,2015,2,82776100.0,106000.0,0.6612702366127023,562.8669482996984,552.6005625961986,-0.38856980135267816,-0.6349687950867845,-1.0037750603517404,-0.19994396674923884,-0.24883186959050763,6
27053002700,2016,1,88047500.0,112500.0,0.6612702366127023,562.8669482996984,552.6005625961986,-0.3992309502474189,-0.6236654573039779,-0.9352832527698693,-0.19994396674923884,-0.24883186959050763,7
27053002700,2017,6,100813000.0,121000.0,0.6629213483146067,563.4154988466228,554.7346129419263,-0.34592520577371516,-0.5962926989349646,-0.845717042855115,-0.19897645629446747,-0.2450189740022229,8
27053002700,2018,1,105122200.0,124500.0,0.6603535353535354,563.1257886043045,550.8157386169244,-0.3992309502474189,-0.5870525837523433,-0.8088368387725691,-0.19948743507275665,-0.25202080442049596,2
27053002700,2019,2,116803900.0,138500.0,0.663760896637609,563.498192274318,556.0012949414223,-0.38856980135267816,-0.5620037919745592,-0.6613160224423854,-0.19883060509390893,-0.2427558004940126,3
27053002700,2020,1,130134500.0,155000.0,0.663760896637609,563.498192274318,556.0012949414223,-0.3992309502474189,-0.5334193031011136,-0.4874522031960976,-0.19883060509390893,-0.2427558004940126,9
27053003200,2012,1,65797200.0,110500.0,1.0,490.84639127059376,488.66164781160745,-0.3992309502474189,-0.6713762469744223,-0.9563576551027527,-0.3269708055242643,-0.3630711641741368,4
27053003200,2013,2,63954100.0,107500.0,1.0,490.8313902129239,487.42564381169916,-0.38856980135267816,-0.675328362516307,-0.9879692586020778,-0.32699726376081073,-0.36527952547535325,1
27053003200,2015,3,70731800.0,118000.0,0.4829642248722317,490.8313902129239,487.40104240698577,-0.3779086524579374,-0.6607951014299679,-0.8773286463544401,-0.32699726376081073,-0.36532348066492276,6
27053003200,2018,1,89022200.0,147500.0,0.4845890410958904,490.10137663745365,490.5192276691924,-0.3992309502474189,-0.621575431250766,-0.5664812119444103,-0.32828483109686124,-0.3597522368310909,2
27053003200,2019,3,99293000.0,166000.0,0.4846153846153846,490.1775745176381,490.75035366641276,-0.3779086524579374,-0.5995519988230145,-0.371542990365239,-0.3281504364706537,-0.35933928532931225,3
