GeoFIPS,GeoNameALT,total_obligated_amount
36067,"Onondaga, NY",741388.0
36071,"Orange, NY",210000.0
36081,"Queens, NY",1343690.0
36083,"Rensselaer, NY",3450440.0
36089,"St. Lawrence, NY",520216.0
36093,"Schenectady, NY",2345363.0
36101,"Steuben, NY",140000.0
36103,"Suffolk, NY",18695321.0
36105,"Sullivan, NY",800000.0
36109,"Tompkins, NY",694842.0
36113,"Warren, NY",975336.0
36119,"Westchester, NY",1430606.0
37013,"Beaufort, NC",189189.0
37017,"Bladen, NC",289189.0
37021,"Buncombe, NC",1754223.0
37023,"Burke, NC",448742.0
37027,"Caldwell, NC",1000000.0
37031,"Carteret, NC",11249354.0
37035,"Catawba, NC",1679189.0
37045,"Cleveland, NC",1543000.0
37047,"Columbus, NC",177816.0
37049,"Craven, NC",189189.0
37051,"Cumberland, NC",995051.0
37063,"Durham, NC",127267651.0
37065,"Edgecombe, NC",189189.0
37067,"Forsyth, NC",1330552.0
37069,"Franklin, NC",1742300.0
37081,"Guilford, NC",36563387.0
37097,"Iredell, NC",148117.84
37099,"Jackson, NC",428640.0
37101,"Johnston, NC",1500000.0
37109,"Lincoln, NC",1631625.0
37115,"Madison, NC",40000.0
37119,"Mecklenburg, NC",17311771.0
37121,"Mitchell, NC",239194.0
37129,"New Hanover, NC",11581252.0
37143,"Perquimans, NC",179189.0
37147,"Pitt, NC",184862.0
37173,"Swain, NC",188429.0
37179,"Union, NC",2081688.0
37181,"Vance, NC",189000.0
37183,"Wake, NC",92220116.0
37189,"Watauga, NC",189000.0
37193,"Wilkes, NC",615000.0
38005,"Benson, ND",97000.0
38015,"Burleigh, ND",15117437.0
38017,"Cass County, ND",296740.0
38017,"Cass, ND",16049041.0
38035,"Grand Forks, ND",549161.0
38059,"Morton, ND",186000.0
38061,"Mountrail, ND",145500.0
38071,"Ramsey, ND",186000.0
38079,"Rolette, ND",196654.0
38085,"Sioux, ND",109000.0
38089,"Stark, ND",275587.0
38093,"Stutsman, ND",183000.0
38099,"Walsh, ND",183000.0
38101,"Ward, ND",186000.0
38105,"Williams, ND",198000.0
39009,"Athens, OH",25115.0
39011,"Auglaize, OH",30031849.0
39023,"Clark, OH",1055260.0
39027,"Clinton, OH",1075000.0
39035,"Cuyahoga, OH",68738808.0
39041,"Delaware, OH",68852857.0
39041,"Franklin, OH",9810888.0
39043,"Erie, OH",87247.0
39049,"Delaware, OH",3359887.0
39049,"Franklin, OH",26009220.0
39057,"Greene, OH",127075.0
39059,"Guernsey, OH",163884.0
39061,"Hamilton, OH",277425.0
39093,"Lorain, OH",1847795.0
39095,"Lucas, OH",2261555.0
39099,"Mahoning, OH",187844.0
39101,"Marion, OH",486757.0
39113,"Montgomery, OH",1415284.0
39131,"Pike, OH",2273484.0
39133,"King, OH",451923.0
39133,"Portage, OH",3959219.0
39139,"Richland, OH",1016933.0
39141,"Ross, OH",66474247.0
39153,"Summit, OH",2968783.0
39157,"Tuscarawas, OH",2695359.0
39167,"Washington, OH",193884.0
39171,"Williams, OH",75000.0
39173,"Wood, OH",601803.0
40007,"Beaver, OK",170189.0
40013,"Bryan, OK",1765000.0
40017,"Canadian, OK",74527340.0
40017,"Oklahoma, OK",11923346.0
40027,"Cleveland, OK",859651035.0
40035,"Craig, OK",170189.0
40039,"Custer, OK",1725700.0
40047,"Garfield, OK",60000.0
40077,"Latimer, OK",60000.0
40089,"Mccurtain, OK",9472078.0
40101,"Muskogee, OK",60000.0
40107,"Okfuskee, OK",770000.0
40109,"Oklahoma, OK",1240000.0
40113,"Osage, OK",1750000.0
40113,"Tulsa, OK",16612492.46
40115,"Ottawa, OK",134802.0
40125,"Pottawatomie, OK",60000.0
40131,"Rogers, OK",225700.0
40137,"Stephens, OK",170189.0
40143,"Tulsa, OK",20189.0
40149,"Washita, OK",170189.0
41003,"Benton, OR",300632110.0
41005,"Clackamas, OR",109751448.0
41005,"Multnomah, OR",133789.0
41009,"Columbia, OR",210189.0
41011,"Coos, OR",312630.0
41013,"Crook, OR",3908064.0
41017,"Deschutes, OR",4622000.0
41019,"Douglas, OR",1061567.0
41025,"Harney, OR",100000.0
41029,"Jackson, OR",6182065.0
41031,"Jefferson, OR",150090.0
41035,"Klamath, OR",220189.0
41039,"Lane, OR",9368507.0
41041,"Lincoln, OR",118239.0
41043,"Linn, OR",260189.0
41047,"Marion, OR",23103936.0
41051,"Clackamas, OR",113771988.0
41051,"Multnomah, OR",11234580.0
41053,"Coos, OR",1987832.0
41053,"Polk, OR",18214853.0
41059,"Umatilla, OR",267189.0
41063,"Wallowa, OR",216439.0
41065,"Wasco, OR",2210288.0
41067,"Washington, OR",12627420.0
42001,"Adams, PA",353964.0
42003,"Allegheny, PA",43310839.0
42003,"Lackawana, PA",1929105.0
42009,"Bedford, PA",650000.0
42013,"Blair, PA",186000.0
42015,"Bradford, PA",210000.0
42021,"Cambria, PA",876928.0
42025,"Carbon, PA",1000000.0
42027,"Centre, PA",16236397.0
42029,"Chester, PA",116204.0
42031,"Clarion, PA",241274.0
42033,"Northhampton County, PA",11760060.0
42037,"Columbia, PA",2000000.0
42041,"Cumberland, PA",99660678.0
42043,"Dauphin, PA",51446839.0
42047,"Elk, PA",198000.0
42049,"Erie, PA",14844342.0
42079,"Luzerne, PA",12727518.0
42081,"Lycoming, PA",4345474.0
42083,"Mckean, PA",800000.0
42087,"Mifflin, PA",457500.0
42091,"Montgomery, PA",9356466.0
42101,"Philadelphia, PA",76816898.0
42105,"Potter, PA",6136904.0
42119,"Union, PA",186000.0
42121,"Venango, PA",273000.0
42133,"York, PA",15241463.0
44001,"Bristol, RI",618306.0
44007,"Providence, RI",16381722.0
44009,"Washington, RI",60131075.0
45001,"Abbeville, SC",500000.0
45003,"Aiken, SC",189000.0
45005,"Allendale, SC",328000.0
45007,"Anderson, SC",1250000.0
45007,"Pickens, SC",188041.0
45011,"Barnwell, SC",1323394.0
45013,"Beaufort, SC",189000.0
45015,"Charleston, SC",589797.0
45019,"Berkeley, SC",91377262.0
45019,"Charleston, SC",72379185.0
45031,"Darlington, SC",1839600.0
45041,"Florence, SC",189000.0
45043,"Georgetown, SC",189000.0
45045,"Greenville, SC",1908152.0
45047,"Greenwood, SC",189000.0
45051,"Horry, SC",173225.0
45059,"Laurens, SC",1500000.0
45063,"Lexington, SC",9765323.0
45063,"Richland, SC",50538102.0
45073,"Oconee, SC",9604840.0
45077,"Anderson, SC",39283.0
45077,"Pickens, SC",3010000.0
45079,"Richland, SC",1794951.0
45085,"Sumter, SC",189000.0
45091,"York, SC",189000.0
46009,"Bon Homme, SD",744070.0
46011,"Brookings, SD",1314598.0
46013,"Brown, SD",186000.0
46023,"Charles Mix, SD",274987.0
46029,"Codington, SD",186000.0
46035,"Davison, SD",1167499.0
46041,"Dewey, SD",145500.0
46065,"Hughes, SD",4699471.0
46067,"Hutchinson, SD",759712.0
46081,"Lawrence, SD",40050.0
46085,"Lyman, SD",145500.0
46099,"Minnehaha, SD",16068057.0
46103,"Pennington, SD",186000.0
46109,"Roberts, SD",145500.0
46121,"Todd, SD",97000.0
46135,"Yankton, SD",199000.0
47001,"Anderson, TN",8476638.0
47009,"Blount, TN",219000.0
47017,"Carroll, TN",1500000.0
47037,"Davidson, TN",14621903.0
47051,"Franklin, TN",975000.0
47057,"Grainger, TN",60000.0
47065,"Hamilton, TN",4807069.0
47093,"Knox, TN",6161181.33
47107,"Mcminn, TN",750000.0
47113,"Madison, TN",189189.0
47119,"Maury, TN",189189.0
47133,"Overton, TN",1182195.0
47141,"Putnam, TN",189000.0
47147,"Putnam, TN",5184447.0
47155,"Sevier, TN",177362.0
47157,"Shelby, TN",189189.0
47165,"Sumner, TN",520000.0
47179,"Washington, TN",689172.0
47183,"Weakley, TN",189189.0
48025,"Bee, TX",1000000.0
48027,"Bell, TX",180189.0
48029,"Bell, TX",1120230.0
48029,"Bexar, TX",17735842.0
48037,"Bowie, TX",170189.0
48041,"Brazos, TX",65089342.0
48061,"Cameron, TX",865920.0
48085,"Dallas, TX",63388.0
48113,"Dallas, TX",43821.0
