,GeoFIPS,GeoName,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1780,35005,"Chaves, NM",3.786771191799802e-06,3.856200103156051e-06,3.905137621793041e-06,3.951147798612993e-06,3.967057265009933e-06,3.970684623348435e-06,3.9488568354518334e-06,3.902083004244827e-06,3.877327874531188e-06,3.867145816037146e-06,3.897691991519272e-06,3.912328700604457e-06,3.956493379322365e-06,3.9764756691169216e-06,4.046540959129048e-06,4.096878510808969e-06,4.143461428419211e-06,4.183107818680387e-06,4.186098798363012e-06,4.192908049980902e-06,4.211935771791643e-06,4.202517367684654e-06,4.206526553216683e-06,4.198508182152625e-06,4.163698269676119e-06,4.127997427081384e-06,4.137034003994846e-06,4.147152424623301e-06,4.112851615071497e-06
1781,35006,"Cibola, NM*",2.0157324135485493e-06,2.0341020954879e-06,2.0841934967021475e-06,2.112768557496693e-06,2.147211711132975e-06,2.1658365275437055e-06,2.1696635446144035e-06,2.1799539682933916e-06,2.252667292636654e-06,2.2615119543111565e-06,2.291107552991221e-06,2.310412727992298e-06,2.3135593864726495e-06,2.2989316767802036e-06,2.3181518069574873e-06,2.3182368517812804e-06,2.3044595903267674e-06,2.324870348037157e-06,2.3458764195140994e-06,2.346046509161686e-06,2.3517445123558364e-06,2.3357560854826982e-06,2.33243933735476e-06,2.3400083266723624e-06,2.3341402338306255e-06,2.3294627685219946e-06,2.3255507066275035e-06,2.3026736490271085e-06,2.3118584899967836e-06
1782,35007,"Colfax, NM",1.3810586213876217e-06,1.4251349603680776e-06,1.446094338344798e-06,1.4526698294747495e-06,1.4376694903345476e-06,1.4253404444658886e-06,1.4408544938506178e-06,1.4591425785557955e-06,1.4527725715236548e-06,1.4604782251915668e-06,1.4474299849805694e-06,1.4479436952250968e-06,1.4415736881929564e-06,1.4365393277965872e-06,1.431504967400218e-06,1.4141415611351899e-06,1.4107510735213087e-06,1.4112647837658361e-06,1.4052030028804122e-06,1.3708871585459778e-06,1.356914239894831e-06,1.3234203319516407e-06,1.2995841766055665e-06,1.2858167420522306e-06,1.281296091900389e-06,1.2768781837974529e-06,1.2780083463354133e-06,1.2670149471025257e-06,1.270816402912029e-06
1783,35009,"Curry, NM",1.2917082603575762e-05,1.3404130952351651e-05,1.3311830757659774e-05,1.3466213821400353e-05,1.317695160410706e-05,1.2731932808271222e-05,1.2403662770602195e-05,1.235916089101861e-05,1.2351743911088013e-05,1.2398168711394344e-05,1.2467393857413252e-05,1.281214607270583e-05,1.290581978219967e-05,1.2915983791734193e-05,1.279786151876542e-05,1.25022811333831e-05,1.2788796321072468e-05,1.345137986153916e-05,1.3674713368338256e-05,1.3934857071829946e-05,1.3916451973483649e-05,1.399721464383904e-05,1.3762893018624246e-05,1.3747784355802658e-05,1.3614004014091514e-05,1.3471707880608204e-05,1.3368968973421411e-05,1.3275020560967179e-05,1.3185467395879228e-05
1784,35011,"De Baca, NM",3.766109667478766e-07,3.7312075037466154e-07,3.8359139949430683e-07,3.794363800023841e-07,3.7893777766335334e-07,3.797687815617379e-07,3.815969901381839e-07,3.6863332932338494e-07,3.613204950176009e-07,3.586612825427704e-07,3.5434006227117076e-07,3.427060076937871e-07,3.4868923576215586e-07,3.3140435467575726e-07,3.3157055545543416e-07,3.324015593538187e-07,3.327339609131725e-07,3.375537835238029e-07,3.327339609131725e-07,3.2558732738706545e-07,3.212661071154658e-07,3.1029685565678976e-07,3.124574657925896e-07,3.059756353851901e-07,3.014882143339136e-07,2.966683917232832e-07,2.9018656131588373e-07,2.7888490829785393e-07,2.7921730985720773e-07
1785,35013,"Doña Ana, NM",1.551723179785661e-05,1.5971548491766376e-05,1.6324782002496485e-05,1.679156933986773e-05,1.7142673716348317e-05,1.7444402455709052e-05,1.7630144072143483e-05,1.7752721372508784e-05,1.7894460881119776e-05,1.8093991176503487e-05,1.845705925971948e-05,1.875047423677256e-05,1.9182384327389744e-05,1.963883015554903e-05,2.0059790412882957e-05,2.036415522321929e-05,2.082506209456805e-05,2.129803405999743e-05,2.159276707253831e-05,2.1715040210867965e-05,2.1685435106065096e-05,2.1637377504433044e-05,2.163332201062443e-05,2.1685232331374666e-05,2.1830216235032544e-05,2.1943668674328466e-05,2.207070701788324e-05,2.2294975825499487e-05,2.2458108063950906e-05
1786,35015,"Eddy, NM",4.790005959387936e-06,4.838542073197066e-06,4.835861030719991e-06,4.841962713598853e-06,4.837247776828823e-06,4.859990413013673e-06,4.825136860811688e-06,4.751824216524754e-06,4.693211080991442e-06,4.715121669510992e-06,4.718264960691012e-06,4.737309607252308e-06,4.69016023955201e-06,4.748773375085322e-06,4.800267880593295e-06,4.859713063791906e-06,4.953272201267792e-06,4.991916192833919e-06,5.038973110793628e-06,5.103965278427569e-06,5.2543810063655785e-06,5.384457791374048e-06,5.516938269637827e-06,5.543193995965052e-06,5.525628545253176e-06,5.617523587398463e-06,5.718571153862043e-06,5.75564349983816e-06,5.631206149005608e-06
1787,35017,"Grant, NM",2.7754821307773434e-06,2.8489751431252316e-06,2.9038512252895034e-06,2.9702288664153814e-06,3.053176550113064e-06,3.077056905584195e-06,3.0473282997936037e-06,3.010094439426371e-06,2.9915749800814127e-06,2.940207848108817e-06,2.873927677821597e-06,2.8303582129416153e-06,2.8540436267354306e-06,2.875682152917435e-06,2.9086272963837295e-06,2.916424963476344e-06,2.910966596511514e-06,2.8672996607928746e-06,2.876072036272066e-06,2.8795809864637423e-06,2.8770467446586425e-06,2.8661300107289826e-06,2.8278239711365155e-06,2.809109570114242e-06,2.78191520612875e-06,2.7538436045953392e-06,2.7317177242200464e-06,2.7495548876944013e-06,2.7183642193239448e-06
1788,35019,"Guadalupe, NM",5.294968531073011e-07,5.371430170510888e-07,5.324278826190864e-07,5.384173777083868e-07,5.297517252387607e-07,5.254188990039476e-07,5.664533121689418e-07,5.980574564699312e-07,6.105461909114511e-07,6.079974695968553e-07,6.21250820432754e-07,6.029000269676634e-07,6.006061777845271e-07,5.990769449957695e-07,6.064682368080977e-07,5.990769449957695e-07,5.909210367890626e-07,5.990769449957695e-07,5.923228335120903e-07,5.904112925261434e-07,5.853138498969516e-07,5.760110170986765e-07,5.663258761032121e-07,5.728251154554316e-07,5.790694826761916e-07,5.687471613520782e-07,5.650515154459141e-07,5.667081843004015e-07,5.66963056431861e-07
1789,35021,"Harding, NM",1.6966507845754102e-07,1.669402645636833e-07,1.6403379641023505e-07,1.6675861030409277e-07,1.5912913140129114e-07,1.6003740269924372e-07,1.5059138120053696e-07,1.4550506193200254e-07,1.4187197674019224e-07,1.353324233949337e-07,1.3860220006756297e-07,1.4205363099978276e-07,1.3733062025042937e-07,1.3605904043329576e-07,1.32970918020257e-07,1.2534143911745537e-07,1.2715798171336052e-07,1.255230933770459e-07,1.2988279560721825e-07,1.280662530113131e-07,1.2643136467499846e-07,1.2733963597295104e-07,1.3260760950107597e-07,1.2697632745377e-07,1.267946731941795e-07,1.2116339114687353e-07,1.1916519429137785e-07,1.1989181132973992e-07,1.160770718783391e-07
