year,value,GeoFIPS
1998,3.625,12220
1998,5.016666666666667,11260
1998,12.15,12540
1998,8.200000000000001,10500
1998,3.033333333333333,12020
1998,3.3249999999999997,12060
1998,5.666666666666667,12260
1998,2.591666666666667,11180
1998,5.325,10780
1998,4.5,12940
1998,4.808333333333334,12580
1998,1.8,11460
1998,3.766666666666667,12980
1998,7.733333333333333,12100
1998,4.608333333333333,10740
1998,3.5416666666666665,10580
1998,3.1999999999999997,11700
1998,4.433333333333334,10420
1998,8.816666666666666,10540
1998,4.533333333333333,10900
1998,5.091666666666667,11020
1998,3.6916666666666664,10180
1998,3.6750000000000003,11100
1998,2.733333333333333,12420
1998,2.6916666666666664,11540
1999,5.091666666666667,11500
1999,3.5,12220
1999,5.2,11260
1999,11.525,12540
1999,7.3500000000000005,10500
