GEO_ID,DP03_0004E,DP03_0005E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
0500000US05111,9442,417,9442,640,661,1484,358,1040,685,125,244,579,2231,523,585,287
0500000US05113,7466,862,7466,505,554,1170,188,919,442,64,194,354,1837,718,299,222
0500000US05115,26903,1686,26903,560,1559,4672,646,3245,2137,239,1235,1860,6370,2560,1151,669
0500000US05117,3573,227,3573,281,248,382,87,387,298,42,239,257,883,61,185,223
0500000US05119,187423,10427,187423,905,10883,12844,4972,20676,10507,4036,13943,20141,51054,15774,9525,12163
0500000US05121,6961,547,6961,328,645,1279,101,919,512,10,212,293,1833,396,221,212
0500000US05123,8020,568,8020,515,877,1004,199,922,492,75,255,253,1803,645,328,652
0500000US05125,59150,2362,59150,504,4628,4806,2120,6911,3719,1132,4500,4875,15899,3649,2836,3571
0500000US05127,4192,261,4192,302,213,1167,127,301,205,29,231,329,805,169,149,165
0500000US05129,2905,130,2905,166,159,500,16,407,190,5,123,147,819,161,50,162
0500000US05131,58021,3029,58021,1150,3874,9688,1738,6861,4144,552,2456,5291,12552,5077,2507,2131
0500000US05133,6657,338,6657,463,632,1844,78,709,354,0,246,350,1255,223,286,217
0500000US05135,5972,350,5972,241,572,691,109,840,315,66,263,329,1520,342,342,342
0500000US05137,4031,326,4031,317,333,364,48,498,161,49,130,262,771,493,257,348
0500000US05139,15572,713,15572,451,1154,2649,325,2054,577,58,997,1073,4169,893,684,488
0500000US05141,5538,316,5538,229,419,557,65,605,582,11,320,267,1438,513,312,220
0500000US05143,118016,5848,118016,1314,10186,14666,3208,14534,6487,1391,5121,11152,30091,11001,5603,3262
0500000US05145,31909,1813,31909,676,2621,3850,429,4593,2345,340,1234,1997,8814,2304,2050,656
0500000US05147,2665,218,2665,220,93,365,124,239,210,12,194,130,674,217,47,140
0500000US05149,9120,343,9120,616,587,1976,95,935,619,120,262,642,1703,884,399,282
0500000US06001,874563,46498,874563,3041,46632,86454,19652,76703,45851,31695,52854,178926,191349,69974,39506,31926
0500000US06003,522,53,522,30,12,36,0,75,46,0,5,62,142,97,1,16
0500000US06005,15114,1099,15114,635,1415,725,175,1602,825,271,789,1582,2684,1847,988,1576
0500000US06007,96203,7446,96203,3951,6166,6063,1849,12236,3911,1916,5227,9811,25724,10517,4511,4321
0500000US06009,16631,1215,16631,715,1874,1020,359,2009,954,278,895,2087,3004,1432,694,1310
0500000US06011,9538,559,9538,2040,430,1216,235,895,714,47,200,468,1374,898,389,632
0500000US06013,570386,35366,570386,3568,42151,36841,12546,56581,33008,14288,43714,96950,130313,48259,28168,23999
0500000US06015,9245,750,9245,616,589,271,218,1067,234,126,208,586,2598,823,455,1454
0500000US06017,87325,4295,87325,1331,7124,5770,1560,8100,3544,1447,6519,12272,17236,11576,4616,6230
0500000US06019,415669,40039,415669,37394,25422,26776,13602,43984,24689,4955,17985,38852,102639,33924,19460,25987
0500000US06021,12172,924,12172,2390,794,1132,207,1516,855,33,154,658,2124,893,716,700
