dataset,exclusions
ethnicity_post2020_CT,36005051602
ethnicity_post2020_CT,36009940200
ethnicity_post2020_CT,36011990200
ethnicity_post2020_CT,36013990000
ethnicity_post2020_CT,36029990000
ethnicity_post2020_CT,36045990001
ethnicity_post2020_CT,36047001802
ethnicity_post2020_CT,36047001804
ethnicity_post2020_CT,36047003102
ethnicity_post2020_CT,36047005303
ethnicity_post2020_CT,36047008600
ethnicity_post2020_CT,36047011902
ethnicity_post2020_CT,36047015400
ethnicity_post2020_CT,36047017500
ethnicity_post2020_CT,36047017700
ethnicity_post2020_CT,36047031402
ethnicity_post2020_CT,36047035702
ethnicity_post2020_CT,36047040700
ethnicity_post2020_CT,36047044902
ethnicity_post2020_CT,36047054300
ethnicity_post2020_CT,36047057902
ethnicity_post2020_CT,36047058902
ethnicity_post2020_CT,36047066600
ethnicity_post2020_CT,36047070203
ethnicity_post2020_CT,36047070602
ethnicity_post2020_CT,36047096000
ethnicity_post2020_CT,36047102802
ethnicity_post2020_CT,36047103402
ethnicity_post2020_CT,36047107002
ethnicity_post2020_CT,36047107003
ethnicity_post2020_CT,36047118000
ethnicity_post2020_CT,36047990100
ethnicity_post2020_CT,36055980000
ethnicity_post2020_CT,36055990000
ethnicity_post2020_CT,36059990100
ethnicity_post2020_CT,36059990200
ethnicity_post2020_CT,36059990301
ethnicity_post2020_CT,36059990302
ethnicity_post2020_CT,36059990400
ethnicity_post2020_CT,36061000100
ethnicity_post2020_CT,36061000500
ethnicity_post2020_CT,36061008602
ethnicity_post2020_CT,36061014300
ethnicity_post2020_CT,36061031100
ethnicity_post2020_CT,36061031900
ethnicity_post2020_CT,36063940100
ethnicity_post2020_CT,36063990000
ethnicity_post2020_CT,36065980002
ethnicity_post2020_CT,36065980003
ethnicity_post2020_CT,36073990000
ethnicity_post2020_CT,36075990000
ethnicity_post2020_CT,36081000103
ethnicity_post2020_CT,36081003700
ethnicity_post2020_CT,36081005000
ethnicity_post2020_CT,36081009900
ethnicity_post2020_CT,36081010701
ethnicity_post2020_CT,36081017101
