GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01019","Cherokee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",384513,382810,402567,439789,432971,451873,471507,488087,447124,473975,477731,491707,525840,513412,519042,510173,506991,538707,524953,476187,533432
 "01019","Cherokee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.200,77.853,81.871,89.441,88.055,91.899,95.892,99.264,90.933,96.394,97.158,100.000,106.942,104.414,105.559,103.756,103.108,109.559,106.761,96.844,108.486
 "01019","Cherokee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",306404,308964,330981,370807,370791,395515,424725,445756,417823,448465,465949,491707,538408,535533,552429,545917,553613,596284,592262,549508,647497
 "01021","Chilton, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",638533,661191,687967,735488,757322,772025,779808,736165,723669,741080,807066,833949,873107,813025,833899,858556,878209,916955,978878,967885,1001475
 "01021","Chilton, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.567,79.284,82.495,88.193,90.812,92.575,93.508,88.275,86.776,88.864,96.776,100.000,104.695,97.491,99.994,102.951,105.307,109.953,117.379,116.060,120.088
 "01021","Chilton, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",502992,529994,564853,624932,660584,692635,719704,688448,694880,717338,786434,833949,896671,859454,911370,953749,990198,1055255,1149380,1166320,1277386
 "01023","Choctaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",640561,563145,528070,611959,682296,727825,612476,588259,393688,413492,456158,552141,552533,541724,509136,498608,505087,547191,500986,499772,501532
 "01023","Choctaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",116.014,101.993,95.641,110.834,123.573,131.819,110.928,106.542,71.302,74.889,82.616,100.000,100.071,98.113,92.211,90.304,91.478,99.104,90.735,90.515,90.834
 "01023","Choctaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",510608,444502,418005,486886,559082,624566,541157,545127,361467,396020,452178,552141,573479,567381,535341,522657,549280,610276,560871,549264,586394
 "01025","Clarke, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",672545,675639,677700,741440,779657,823559,813220,778451,762901,726678,742128,775244,803056,764622,748919,745289,724891,749753,737104,752027,761922
 "01025","Clarke, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.753,87.152,87.418,95.640,100.569,106.232,104.899,100.414,98.408,93.735,95.728,100.000,103.587,98.630,96.604,96.136,93.505,96.712,95.080,97.005,98.282
 "01025","Clarke, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",538627,546013,559042,629737,677959,734992,744414,729573,722948,707467,729687,775244,832966,815270,803928,808955,810528,865691,859544,894436,998805
 "01027","Clay, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",317661,320561,299284,333898,373011,409845,339655,312828,290050,294680,273570,280607,301458,309768,323820,344213,367307,443907,405188,400458,434129
 "01027","Clay, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",113.205,114.238,106.656,118.991,132.930,146.057,121.043,111.483,103.365,105.015,97.492,100.000,107.431,110.392,115.400,122.667,130.897,158.195,144.397,142.711,154.711
 "01027","Clay, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",254403,262298,249052,280172,316298,352190,305591,285957,274904,281425,265171,280607,308083,321577,342214,367782,396958,482277,458401,469469,509530
 "01029","Cleburne, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",329499,270009,264939,278398,294254,275258,253377,266944,255151,263741,244873,270115,284898,299402,314242,302950,296993,300078,276070,260699,298888
 "01029","Cleburne, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",121.985,99.961,98.084,103.067,108.937,101.904,93.803,98.826,94.460,97.641,90.655,100.000,105.473,110.842,116.336,112.156,109.951,111.093,102.205,96.514,110.652
 "01029","Cleburne, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",252233,209442,211931,237060,253119,247302,242487,259478,232307,250385,243439,270115,287661,307972,316309,299675,307350,319494,295477,277936,356069
 "01031","Coffee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1007082,1015813,1016275,1099644,1145119,1126087,1165082,1187262,1212410,1233677,1167718,1194263,1201238,1239318,1300567,1299125,1297442,1322035,1320034,1262831,1403123
