GeoFIPS,GeoName,CountyFIPS,CountyName
13460,"Bend, OR (MA)",41017,"Deschutes, OR"
13740,"Billings, MT (MA)",30009,"Carbon, MT"
13740,"Billings, MT (MA)",30095,"Stillwater, MT"
13740,"Billings, MT (MA)",30111,"Yellowstone, MT"
13780,"Binghamton, NY (MA)",36007,"Broome, NY"
13780,"Binghamton, NY (MA)",36107,"Tioga, NY"
13820,"Birmingham-Hoover, AL (MA)",1007,"Bibb, AL"
13820,"Birmingham-Hoover, AL (MA)",1009,"Blount, AL"
13820,"Birmingham-Hoover, AL (MA)",1021,"Chilton, AL"
13820,"Birmingham-Hoover, AL (MA)",1073,"Jefferson, AL"
13820,"Birmingham-Hoover, AL (MA)",1115,"St. Clair, AL"
13820,"Birmingham-Hoover, AL (MA)",1117,"Shelby, AL"
13900,"Bismarck, ND (MA)",38015,"Burleigh, ND"
13900,"Bismarck, ND (MA)",38059,"Morton, ND"
13900,"Bismarck, ND (MA)",38065,"Oliver, ND"
13980,"Blacksburg-Christiansburg, VA (MA)",51071,"Giles, VA"
13980,"Blacksburg-Christiansburg, VA (MA)",51155,"Pulaski, VA"
13980,"Blacksburg-Christiansburg, VA (MA)",51933,"Montgomery + Radford, VA"
14010,"Bloomington, IL (MA)",17113,"McLean, IL"
14020,"Bloomington, IN (MA)",18105,"Monroe, IN"
14020,"Bloomington, IN (MA)",18119,"Owen, IN"
14100,"Bloomsburg-Berwick, PA (MA)",42037,"Columbia, PA"
14100,"Bloomsburg-Berwick, PA (MA)",42093,"Montour, PA"
14260,"Boise City, ID (MA)",16001,"Ada, ID"
14260,"Boise City, ID (MA)",16015,"Boise, ID"
14260,"Boise City, ID (MA)",16027,"Canyon, ID"
14260,"Boise City, ID (MA)",16045,"Gem, ID"
14260,"Boise City, ID (MA)",16073,"Owyhee, ID"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",25009,"Essex, MA"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",25017,"Middlesex, MA"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",25021,"Norfolk, MA"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",25023,"Plymouth, MA"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",25025,"Suffolk, MA"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",33015,"Rockingham, NH"
14460,"Boston-Cambridge-Newton, MA-NH (MA)",33017,"Strafford, NH"
14500,"Boulder, CO (MA)",8013,"Boulder, CO"
14540,"Bowling Green, KY (MA)",21003,"Allen, KY"
14540,"Bowling Green, KY (MA)",21031,"Butler, KY"
14540,"Bowling Green, KY (MA)",21061,"Edmonson, KY"
14540,"Bowling Green, KY (MA)",21227,"Warren, KY"
14740,"Bremerton-Silverdale-Port Orchard, WA (MA)",53035,"Kitsap, WA"
14860,"Bridgeport-Stamford-Norwalk, CT (MA)",9001,"Fairfield, CT"
15180,"Brownsville-Harlingen, TX (MA)",48061,"Cameron, TX"
15260,"Brunswick, GA (MA)",13025,"Brantley, GA"
15260,"Brunswick, GA (MA)",13127,"Glynn, GA"
