GEO_ID,NAME,DP05_0070E,DP05_0070M,DP05_0070MA,DP05_0070EA,DP05_0071E,DP05_0071M,DP05_0071MA,DP05_0071EA,DP05_0072E,DP05_0072M,DP05_0072MA,DP05_0072EA,DP05_0073E,DP05_0073M,DP05_0073MA,DP05_0073EA,DP05_0074E,DP05_0074M,DP05_0074MA,DP05_0074EA,DP05_0075E,DP05_0075M,DP05_0075MA,DP05_0075EA,DP05_0076E,DP05_0076M,DP05_0076MA,DP05_0076EA,DP05_0077E,DP05_0077M,DP05_0077MA,DP05_0077EA,DP05_0078E,DP05_0078EA,DP05_0078M,DP05_0078MA,DP05_0079E,DP05_0079M,DP05_0079MA,DP05_0079EA,DP05_0080E,DP05_0080M,DP05_0080MA,DP05_0080EA,DP05_0081E,DP05_0081M,DP05_0081MA,DP05_0081EA,DP05_0082E,DP05_0082M,DP05_0082MA,DP05_0082EA,DP05_0083E,DP05_0083M,DP05_0083MA,DP05_0083EA,DP05_0084E,DP05_0084M,DP05_0084MA,DP05_0084EA,DP05_0085E,DP05_0085M,DP05_0085MA,DP05_0085EA
0500000US48065,"Carson County, Texas",5856,*****,*****,,619,*****,*****,,398,174,,,0,20,,,20,34,,,201,174,,,5237,*****,*****,,4968,20,,,58,,54,,146,69,,,17,18,,,23,32,,,1,2,,,24,25,,,0,20,,,24,25,,
0500000US48067,"Cass County, Texas",28692,*****,*****,,1439,*****,*****,,1248,108,,,36,54,,,6,9,,,149,95,,,27253,*****,*****,,21723,31,,,4906,,113,,17,19,,,192,25,,,0,27,,,29,30,,,386,117,,,12,13,,,374,117,,
0500000US48069,"Castro County, Texas",7450,*****,*****,,4878,*****,*****,,4460,285,,,0,20,,,0,20,,,418,285,,,2572,*****,*****,,2288,12,,,86,,54,,36,20,,,98,57,,,0,20,,,3,6,,,61,40,,,7,10,,,54,38,,
0500000US48071,"Chambers County, Texas",45257,*****,*****,,10962,*****,*****,,9583,712,,,54,88,,,0,30,,,1325,695,,,34295,*****,*****,,29364,121,,,3435,,230,,40,50,,,337,198,,,0,30,,,0,30,,,1119,290,,,142,121,,,977,284,,
0500000US48073,"Cherokee County, Texas",50564,*****,*****,,12103,*****,*****,,11440,227,,,57,75,,,23,37,,,583,221,,,38461,*****,*****,,29881,269,,,6914,,227,,181,56,,,226,127,,,18,21,,,10,17,,,1231,370,,,365,269,,,866,254,,
0500000US48075,"Childress County, Texas",6784,*****,*****,,2319,290,,,2020,348,,,3,8,,,0,20,,,296,200,,,4465,290,,,3655,323,,,594,,155,,27,30,,,5,11,,,0,20,,,0,20,,,184,93,,,48,56,,,136,67,,
0500000US48077,"Clay County, Texas",10236,*****,*****,,702,*****,*****,,632,65,,,0,23,,,0,23,,,70,64,,,9534,*****,*****,,9038,32,,,37,,35,,94,55,,,95,7,,,0,23,,,0,23,,,270,74,,,26,32,,,244,65,,
0500000US48079,"Cochran County, Texas",2553,*****,*****,,1524,*****,*****,,1400,73,,,0,14,,,0,14,,,124,74,,,1029,*****,*****,,868,3,,,128,,30,,1,4,,,0,14,,,0,14,,,0,14,,,32,29,,,0,14,,,32,29,,
0500000US48081,"Coke County, Texas",3288,*****,*****,,743,*****,*****,,685,65,,,0,14,,,0,14,,,58,65,,,2545,*****,*****,,2427,14,,,34,,19,,4,7,,,0,14,,,0,14,,,0,14,,,80,19,,,0,14,,,80,19,,
0500000US48083,"Coleman County, Texas",7848,*****,*****,,1421,*****,*****,,1386,34,,,5,7,,,0,20,,,30,33,,,6427,*****,*****,,5950,20,,,206,,86,,41,32,,,91,76,,,0,20,,,0,20,,,139,79,,,0,20,,,139,79,,
