index,GeoFIPS,roads,MilesSq_Land,Ac_Land,Ac_Water,Ac_Unpr,Ac_Total,TotPop,CountHU,HH,R_LowWageWk,R_HiWageWk,TotEmp,D3A,D1A,D1B,D1C,E_PctLowWage,D2a_JpHH,WeightAvgP_WrkAge,WeightAvgD5AE,WeightAvgNatWalkInd
1289,26117,2056.6749465833263,705.3135401482813,451400.6656949,9870.330428,424614.5599585,461270.9961245,63209,28435.0,23761.0,6350,10646,16319,2.915972584548628,0.06696661556489988,0.148862064471312,0.03843250217702132,38.91169802071205,0.6867976936997601,0.5932122007941907,5948.672372605167,5.186956498782372
1290,26119,1419.8190899558074,546.662817203125,349864.20301,10218.2521691,209545.22868899998,360082.455179,9261,9594.0,4195.0,938,940,2043,2.597248331649821,0.045784864966976146,0.04419570924110549,0.00974968512899023,45.91287322564855,0.4870083432657926,0.5305007018680489,655.802937047835,4.597163733287117
1291,26121,2034.053929449655,503.90258922625003,322497.6571048,611897.2581356999,280398.2356224,934394.9152346,173043,73962.0,65619.0,18436,29072,59293,4.036601464130151,0.2637748409358801,0.6171329845064696,0.2114599611099097,31.093046396707873,0.903594995351956,0.5891901434903464,20599.55832365366,6.464518453023097
1292,26123,2139.594285669464,838.86834269375,536875.739324,14599.4186899,401867.0577175,551475.1580161001,48142,25361.0,19007.0,4933,8096,11987,2.5505722135119084,0.06310793460913133,0.11979583565130715,0.02982827223530844,41.152915658630185,0.6306623875414321,0.5744085829421296,3878.9360849154587,5.081235373203087
1293,26125,8209.634466216117,867.1390050548438,554968.9632351,25650.0640279,488102.24293843,580619.0272588,1250843,537448.0,501260.0,121699,325727,759405,9.467495313161336,1.101097173339141,2.562665953898891,1.5558318179984119,16.02557265227382,1.5149922196065915,0.6095211021686975,95754.28524922792,7.731699874916639
1294,26127,1547.853531863642,538.0864008807813,344375.2965637,491414.75547770003,271579.0553742,835790.0520486999,26417,16136.0,10157.0,2672,3948,6047,2.87658920450321,0.05941548024668813,0.09727186054020576,0.022266076416195036,44.18720026459401,0.5953529585507532,0.5505948442290949,3418.721353673771,5.235795131829957
1295,26129,1454.8643072900375,563.4909457109375,360634.205255,7324.3630064,253965.47319699998,367958.568271,20928,16165.0,9296.0,2154,2150,5515,2.5818769908618218,0.06365038442631481,0.08240490227490976,0.021715550269788195,39.05711695376247,0.5932659208261618,0.5523461869266056,1175.3619074923547,5.143953873575784
1296,26131,1600.1970220251485,1310.9489654167187,839007.3378667,1554822.2460919998,467198.42270999996,2393829.5838714996,5968,5679.0,2876.0,630,613,1126,1.2206402112049304,0.012155434872957772,0.012774015728440216,0.002410110876377963,55.95026642984015,0.39151599443671764,0.5234130361930295,372.88069705093835,5.617906612995644
1297,26133,1302.8837950384845,566.2737998407813,362415.2318981,4305.7451752,332916.7583931,366720.9770671,23232,13720.0,9100.0,2241,3046,5772,2.3008018301479165,0.04121150303824525,0.06978320980936688,0.017337667313174314,38.82536382536382,0.6342857142857142,0.5542874483471074,1863.1325327134987,4.695147497778409
1298,26135,1389.4099172821877,565.6613443171875,362023.260363,3740.2254430000003,149813.355507,365763.48582299997,8277,9173.0,3824.0,875,707,1504,2.4562574961867885,0.06122952101938197,0.05524874582769264,0.010039158357478522,58.178191489361694,0.39330543933054396,0.5313045789537272,518.1128428174459,4.855825379530023
