city,state,fips,proj_uid,displayname,AvGini20112014,PrePostRecessionChange,citylongitude,citylatitude,UV_place,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,logSA_Part,CBSA_POP_2018_5yr,geo_flag
Ashland,Kentucky,2102368,ashland_KY,"Ashland, Kentucky",0.32880825,-0.005679418,-82.643665,38.460926,2102368,20822,10.25845408,53.31516862,8.411570638,54604,38446,1.637690887,47.62794077,56.90615773,19.55547184,92.32062101,23.48264903,81.94538951,14.94509727,2.582843542,60.41357517,49.88483191,662,33.40380096,30.42558098,5.555471838,0.263023107,-70.92897146,-8.733469648,-5.272735544,9.943765399,-2.8451762,5.8124022,Place
Atlanta,Georgia,1304000,atlanta_GA,"Atlanta, Georgia",0.362406354,-0.007461232,-84.413618,33.765992,1304000,479655,7.676684856,65.22008181,5.054330453,73973,55279,7.123661786,48.75996113,65.87964296,16.88552052,37.62329221,49.93209839,51.96661949,17.71422476,4.728739738,43.35214794,50.16622543,1204,74.34015656,40.57544327,-4.38130319,1.219109443,-69.89262708,33.27098114,15.17045482,13.08082237,-2.4889989,8.2993011,Place
Atlantic City,New Jersey,3402080,atlanticcity_NJ,"Atlantic City, New Jersey",0.37450402,0.045499547,-74.440566,39.361333,3402080,38372,12.76429147,59.85809565,3.565016761,34229,27786,33.01104903,60.00491381,59.98644829,33.10404122,15.35494626,16.39157832,73.96517396,24.01989996,5.945440292,26.6500771,59.86812115,957,55.81198502,34.25761414,13.95655227,3.030637986,-61.84310029,-28.24502552,-5.294074092,10.55508331,-1.9456681,14.289172,Place
Attleboro,Massachusetts,2502690,attleboro_MA,"Attleboro, Massachusetts",0.316351802,0.009003194,-71.301974,41.92913,2502690,44548,5.612572283,69.7206676,14.67465162,95124,74255,9.771482646,46.05490267,61.37200594,6.767956167,83.21810365,32.34249055,64.47880268,7.342042029,3.812537909,67.49913692,47.27540612,1410,45.14855194,29.68244934,3.079691555,-0.894759685,-73.68819185,7.939776608,5.895217267,10.70432254,-3.5908425,2.757509,Place
Auburn,Alabama,103076,auburn_AL,"Auburn, Alabama",0.325497441,-0.001244576,-85.480606,32.600854,103076,62996,4.806322232,58.46583843,12.03728914,84878,44654,10.41494682,52.66199112,64.81840014,12.07593903,69.31868792,56.66370392,23.82693887,16.43199325,5.620996952,44.13566887,61.0219717,940,32.12014389,18.64240074,-1.967776818,2.323392311,49.91896478,2.36206196,46.54663038,11.05082651,-0.92763638,39.54874,Place
Auburn,New York,3603078,auburn_NY,"Auburn, New York",0.30769043,0.003302059,-76.565412,42.931958,3603078,26779,8.162283152,56.21309876,13.06093931,57492,42695,3.211471811,52.28409171,61.5295589,14.98017609,82.71406889,20.95823884,90.96329808,10.12079939,2.288324118,47.54889309,45.67945004,781,36.35771179,36.99653625,2.470733577,-0.03744723,-64.01547243,-6.329214297,-6.281934626,10.19537328,-1.0673971,34.390251,Place
Auburn,Washington,5303180,auburn_WA,"Auburn, Washington",0.318343127,0.023695192,-122.218227,47.300616,5303180,79110,5.858280137,66.79287553,13.57062012,80053,68947,21.16672993,52.44505405,61.12754345,8.171205968,56.63380027,24.33243096,39.27502632,5.590289459,4.267045498,59.55475569,49.0355134,1352,25.17610931,28.53737831,-1.982793039,-0.277034476,-51.53710638,18.20617912,96.23455871,11.27859457,-3.8744709,2.0765321,Place
Aurora,Colorado,804000,aurora_CO,"Aurora, Colorado",0.331497673,0.015253187,-104.808515,39.678858,804000,363550,4.998160154,71.41866088,5.438347161,72572,62541,19.85064,54.61888909,61.26695275,8.848015219,44.96822953,29.08499241,42.04942584,4.298939928,4.141283512,58.97395611,55.84753752,1293,33.56607437,39.09290314,2.010470093,-1.353556828,-56.03315635,-7.369251913,31.53372191,12.80367212,-2.0592351,12.755151,Place
Aurora,Illinois,1703012,aurora_IL,"Aurora, Illinois",0.361977319,0.014833112,-88.312765,41.760911,1703012,200660,5.833815038,71.95094228,15.98661393,78372,69730,24.80065823,60.09926796,59.55197811,9.8543033,36.27927899,30.95906973,47.86897004,5.547253415,2.557005644,63.76020312,50.2869308,1329,33.77245712,52.50028229,3.663509824,0.578274029,-63.30851334,-13.98099978,40.33149171,12.20936721,-3.8612623,2.1041422,Place
Austin,Minnesota,2702908,austin_MN,"Austin, Minnesota",0.271698249,-0.006688494,-92.979633,43.666359,2702908,25006,5.516742915,64.37322497,28.67584527,65314,46970,14.60449547,50.43449998,54.71087098,8.001311868,71.13492489,22.78702408,78.79861593,9.778262675,2.199276209,67.5060451,43.14850271,766,22.23094559,26.57090187,0.508981818,2.998332639,-28.38097836,2.621183333,7.25744188,10.12687108,-0.4597638,63.143276,Place
Austin,Texas,4805000,austin_TX,"Austin, Texas",0.365715285,0.006550997,-97.747209,30.277889,4805000,935755,3.940826654,73.40674996,7.21527487,87400,67462,18.54694933,51.8805027,67.74807572,9.59302187,48.31499755,50.40585995,35.14057696,8.464559913,4.629272938,45.18555999,48.48531485,1340,51.53396606,46.35819626,0.52514364,1.483457145,-17.15273425,8.381082997,42.52347836,13.74910897,-0.78830671,45.461391,Place
Avondale,Arizona,404720,avondale_AZ,"Avondale, Arizona",0.309985432,0.020900284,-112.317378,33.454934,404720,83392,5.527289957,68.37642789,7.041541487,65535,58938,16.04350507,59.84239578,60.07170677,11.79428697,32.03424811,17.94775724,10.46300977,6.568364799,3.325528622,53.53832841,49.38423634,1166,19.30762482,29.4199543,1.477730373,0.621985239,-70.77095987,-13.94908914,132.3997436,11.33130766,-4.0261397,1.7843075,Place
Bakersfield,California,603526,bakersfield_CA,"Bakersfield, California",0.361781451,0.016356935,-119.030701,35.348499,603526,375699,8.712989837,63.90635371,5.127805844,66914,62340,18.37934107,59.53679681,57.46355653,14.85943347,33.49516392,21.80904597,38.49726617,5.935102701,3.864292622,58.73140693,52.81170011,1243,45.42811584,40.20935822,0.273200908,0.336125552,-25.67596796,-1.476808434,52.06976528,12.83654357,-0.85459691,42.545464,Place
