GeoFIPS,GeoName,2017,2018,2019,2020,2021
19060,"Cumberland, MD-WV (MA)",3790007.0,3852561.0,3866718.0,3733268.0,3745774.0
19100,"Dallas-Fort Worth-Arlington, TX (MA)",483732021.0,506219605.0,525852321.0,519282910.0,560290164.0
19140,"Dalton, GA (MA)",6885582.0,6843613.0,6878107.0,6669749.0,7034767.0
19180,"Danville, IL (MA)",3203166.0,3211115.0,3200616.0,3045323.0,3155857.0
19300,"Daphne-Fairhope-Foley, AL (MA)",7382558.0,7758980.0,8148786.0,8102009.0,8738819.0
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",21554709.0,21409425.0,21587953.0,21147871.0,21649139.0
19430,"Dayton-Kettering, OH (MA)",42546733.0,43183270.0,44585566.0,43928550.0,45492566.0
19460,"Decatur, AL (MA)",6090215.0,6217087.0,6171068.0,6296611.0,6432853.0
19500,"Decatur, IL (MA)",6950487.0,6752927.0,6477282.0,6303815.0,6870929.0
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MA)",20582041.0,21185572.0,21617720.0,21845414.0,23013290.0
19740,"Denver-Aurora-Lakewood, CO (MA)",202210170.0,211192596.0,222301876.0,223271130.0,239402096.0
19780,"Des Moines-West Des Moines, IA (MA)",51811153.0,51930218.0,53815922.0,55169453.0,58996258.0
19820,"Detroit-Warren-Dearborn, MI (MA)",256207316.0,261548084.0,261186301.0,250060724.0,264723150.0
20020,"Dothan, AL (MA)",6355776.0,6409091.0,6541798.0,6593419.0,6848500.0
20100,"Dover, DE (MA)",7633026.0,7813320.0,8384005.0,8000617.0,8254518.0
20220,"Dubuque, IA (MA)",6389591.0,6378942.0,6624026.0,6772031.0,7048913.0
20260,"Duluth, MN-WI (MA)",13554938.0,13868115.0,14152130.0,13420343.0,13889180.0
20500,"Durham-Chapel Hill, NC (MA)",46431099.0,48726823.0,50043513.0,51328512.0,54380184.0
20700,"East Stroudsburg, PA (MA)",7597383.0,7669423.0,8263470.0,7897182.0,8360429.0
