parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
2402924110207,2017-04-24,,1721 Como Ave SE,Como,1,False,3,5,11,6413.50638731,True,False,False
2302924340722,2017-05-08,205 Park,205 Park Ave,Mill District,3,True,122,138,61,36044.87229985,False,True,True
1502924140115,2017-05-22,Marshall St Apartments,1301 Marshall St NE,Sheridan,3,False,95,53,154,21480.12605871,False,False,True
0302824420044,2017-06-12,,3501 2nd Ave S,Central,9,False,49,20,33,5424.59677225,False,False,True
0402824120134,2017-06-26,,3145 Hennepin Ave,SOUP,10,False,25,15,18,5820.38957252,False,True,True
2702924310262,2017-06-26,,1500 Nicollet Ave,Loring Park,7,True,184,120,92,59255.46775813,False,True,True
3302924440123,2017-06-26,Raptor Nine Rooftop Lofts,2909 Bryant Ave S,Lowry Hill East,10,False,7,0,0,22224.96871716,False,True,True
2402924240103,2017-07-17,,915 6th St SE,Marcy Holmes,3,False,6,12,23,10516.27349059,True,False,False
3402924320423,2017-07-17,REX 26,2601 Lyndale Ave S,Whittier,10,False,86,103,86,31919.83653023,False,True,True
2202924230149,2017-07-17,Great River Landing,813 5th St N,North Loop,5,True,48,28,32,27883.75850435,False,False,True
1802823120096,2017-07-17,The Capp,3939 46th St E,Longfellow,12,False,146,124,146,55096.79723499,False,True,True
2302924120250,2017-07-17,Rafter,333 E Hennepin Ave,St. Anthony Main,3,False,282,272,142,31960.07289421,False,True,True
2402924240101,2017-07-17,,925 6th St SE,Marcy Holmes,3,False,8,12,24,26128.41087708,True,False,False
1702823340034,2017-07-31,Minnehaha Townhomes,5118 54th St E,Nokomis,12,False,16,16,8,6014.04019612,False,False,False
3402924210088,2017-08-14,,2201 Blaisdell Ave,Whittier,10,False,74,45,40,23907.04850763,False,True,True
1502924410020,2017-08-14,,80 Broadway St NE,St. Anthony West,3,False,98,49,118,16659.71740751,False,False,True
1402924320126,2017-08-28,,1001 2nd St NE,St. Anthony West,3,False,69,63,38,23608.17727444,False,True,True
3602924440118,2017-08-28,,2921 29th Ave S,Longfellow,2,False,6,5,0,7538.76930336,False,True,True
3602924440190,2017-08-28,,2912 30th Ave S,Longfellow,2,False,6,5,0,8224.3031161,False,False,True
3602924430020,2017-08-28,,2829 27th Ave S,Longfellow,2,False,6,5,0,7537.2070978,False,False,True
3202924430382,2017-09-18,3100 Lake,3100 W Lake St,Cedar-Isles Dean,7,False,200,185,100,70141.41780039,False,True,True
3002923130110,2017-10-02,Pillars of Prospect Park,3000 4th St SE,Prospect Park,2,False,283,117,58,71359.69443638,True,False,False
2302924140086,2017-10-02,,401 University Ave SE,Marcy Holmes,3,False,43,18,51,11033.33608442,True,False,True
0802824410338,2017-10-16,Eight on 44th,2620 W 44th St,Linden Hills,13,False,9,21,0,27080.98333851,False,False,False
3002923130040,2017-11-13,The Louis,3001 4th St SE,Prospect Park,2,False,70,37,88,30235.29920282,True,False,False
1102924320030,2017-12-04,2nd Street Townhomes,2407 2nd St Ne,Bottineau,3,False,10,12,24,20376.11814162,False,True,True
2202924410104,2017-12-04,Second on Second,128 2nd St N,North Loop,3,True,156,182,81,29285.92893239,False,False,True
0502824220034,2017-12-04,,3823 31st St W,West Calhoun,13,False,15,5,15,8769.42764323,False,False,True
2602924220435,2017-12-04,Thrivent Parking Wrap,625 4th Ave S,Downtown West,7,True,107,160,120,55709.8514004,False,False,False
1102924420171,2018-01-08,Hook and Ladder Apartments,2320 Jefferson St NE,Holland,1,False,118,118,108,102039.4952751,False,False,False
0302824130087,2018-01-08,,3329 Nicollet Ave,Lyndale,8,False,12,12,12,11248.8578795,False,True,True
2302924130039,2018-01-08,The Expo,200 University Ave SE,St. Anthony Main,3,False,372,396,591,6493.61960826,True,False,True
2302924140084,2018-01-22,,408 4th St SE,Marcy-Holmes,3,False,27,14,31,9077.42719436,True,False,True
3402924320424,2018-01-22,REX 26,2601 Lyndale Ave S,Whittier,10,False,97,113,105,31919.83653023,False,True,True
0802824410072,2018-01-22,The Cottages on Lake Harriet,4324 Lake Harriet Pkwy W,Linden Hills,13,False,4,6,6,6307.2999205,False,False,False
0402824210264,2018-01-22,Sons of Norway,1455 W Lake St,ECCO,10,False,319,254,183,104496.46154336,False,True,True
2402924130162,2018-02-05,Bunge Riverton/Maya Commons,937 13th Ave SE,Como,2,False,145,83,221,38906.84502815,True,False,False
3002923130026,2018-02-20,4th Street Lofts,2813 4th Street SE,Prospect Park,2,False,169,40,241,32563.53306656,True,False,False
0102824440073,2018-03-05,38th St Station,2922 38th St E,Standish,12,False,144,132,285,3513.41894144,False,True,True
3402924330215,2018-03-05,Rana Village,2900 Pleasant Ave S,Whittier,10,False,113,61,60,50869.98973523,False,True,True
1402924320087,2018-04-09,Marshall Apartments,829 Marshall St NE,St. Anthony West,3,False,29,12,28,10462.49140882,False,False,True
1702824320222,2018-04-09,Ewing Place Apartments,5048 Ewing Avenue S,Fulton,13,False,16,20,36,5060.14197456,False,False,False
2102924340197,2018-04-09,Leef Block Redevelopment,221 Irving Ave N,Harrison,5,False,100,104,62,47795.23020306,False,False,True
