parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
2302924340074,2012-12-03,Ceresota Building,155 5th Ave S,Mill District,7,True,117,0,78,50648.9754031,False,False,True
2302924130071,2012-12-03,,312 Central Ave SE,St. Anthony Main,3,False,81,81,99,54946.01772623,True,True,True
2202924240099,2013-01-07,Junction Flats,643 5th St N,North Loop,5,True,182,188,91,59438.31923809,False,False,True
3602924340053,2013-01-07,Lake Street Station,2230 E Lake St,East Phillips,9,False,64,18,32,43179.15852856,False,True,True
2402924420180,2013-01-22,,621 15th Ave SE,Marcy Holmes,3,False,12,16,38,13875.25537057,True,False,False
1002924210009,2013-01-22,,3442 Washington Ave N,McKinley,3,False,1,0,0,4301.277973,False,False,False
0402824310023,2013-01-22,,3448 Hennepin Avenue S,ECCO,10,False,1,0,0,6174.35300707,False,True,True
1502924140112,2013-01-22,Grain Belt Terraces,1219 Marshall Street NE,Sheridan,3,False,151,189,100,132199.61935182,False,False,True
2302924110104,2013-02-19,,720 Central Ave NE,Marcy Holmes,3,False,1,0,0,11988.22031047,True,True,True
3302924410020,2013-03-04,,2601 Colfax Ave S,Hawthorne,5,False,1,0,0,3415.51785637,False,False,True
2402924320041,2013-03-04,The Bridges,918 University Ave SE,Marcy Holmes,3,False,211,128,318,16701.8484165,True,False,False
2602924410075,2013-03-04,Five15 On the Park,1500 6th St S,Cedar Riverside,2,False,260,242,280,74917.05488079,True,False,True
2302924410220,2013-03-25,Mill and Main Phase II,501 Main St SE,St. Anthony Main,3,False,179,241,255,56256.45732136,True,False,False
2302924120244,2013-04-08,Red 20 Apartments,519 Central Ave NE,St. Anthony Main,3,False,130,136,130,37503.0136213,False,True,True
2702924440346,2013-04-08,The Rose,500 E Franklin Ave,Ventura Village,6,False,90,90,45,78517.30239558,False,True,True
2502924110012,2013-04-08,700 on Washington,700 Washington Ave SE,Stadium Village,2,False,98,49,164,21864.2146782,True,False,False
2302924120039,2013-04-22,La Pompadour,115 5th St NE,St. Anthony Main,3,False,22,13,12,11133.26110656,False,False,True
2202924140205,2013-05-06,The Paxon,324 N 1st St,North Loop,3,True,140,138,137,47761.08874031,False,False,True
2402924320063,2013-05-06,Cozē Flats,628 University SE,Marcy Holmes,3,False,40,25,54,10989.20497945,True,False,False
1602924230206,2013-05-06,West Broadway Crescent,2022 W Broadway,Jordan,5,False,54,61,61,14051.12348435,False,False,True
2402924130030,2013-05-20,,815 14th Ave SE,Marcy Holmes,3,False,36,34,100,21343.34057903,True,False,False
2202924210054,2013-05-20,Gurley Candy Factory,900 N 3rd St,North Loop,3,True,30,13,30,19860.70320017,False,False,False
2202924440094,2013-06-10,4Marq,400 Marquette Ave,Downtown West,3,True,262,217,262,15694.23498718,False,False,True
3502924440255,2013-06-10,Greenway Heights,2845 Bloomington Ave,East Phillips,9,False,42,39,39,26987.75763187,False,False,True
2402924420182,2013-06-24,The Venue at Dinkytown,1300 5th St SE,Marcy Holmes,3,False,140,62,247,44138.44707974,True,False,False
2402924420181,2013-06-24,,700 14th Ave SE,Marcy Holmes,3,False,202,174,643,41889.15049265,True,False,False
2402924420062,2013-08-26,Gould Apartments,1423 5th Street SE,Marcy Holmes,3,False,13,41,118,21978.40597526,True,False,False
2002924430140,2013-08-26,,296 Vincent Ave N,Bryn Mawr,7,False,3,6,0,7683.87094787,False,False,True
2202924240704,2013-09-16,The Cameron,756 4th St N,North Loop,3,True,44,33,22,30041.25266792,False,False,True
2302924330032,2013-09-16,Latitude 45,301 Washington Ave S,Mill District,3,True,320,153,219,47858.16825943,False,True,True
1702924110252,2013-10-28,Broadway Flats,2220 West Broadway,Jordan,5,False,103,96,76,80758.57714018,False,True,True
2602924220434,2013-11-12,EDITION,511 4th St S,Mill District,3,True,125,101,102,36430.09202026,False,False,True
2602924210141,2013-11-12,Wells Fargo Building 1,550 4th St S,Mill District,3,True,39,75,0,66966.47956791,False,False,True
2602924210167,2013-11-12,Wells Fargo Building 2,650 4th St S,Mill District,3,True,39,75,0,66694.17607006,False,False,True
0802824330179,2013-12-02,Elements of Linden Hills,4525 France Ave S,Linden Hills,13,False,31,41,36,18877.96568994,False,False,False
0702823240218,2013-12-02,Dight Lofts,4140 Dight Ave,Hiawatha,12,False,12,22,12,10959.34553638,False,False,False
2402924130005,2014-02-03,,1218 Como Ave SE,Como,2,False,8,11,23,4977.50950838,True,False,False
2302924340074,2014-02-03,Ceresota Building,155 5th Ave S,Mill District,7,True,57,0,29,50648.9754031,False,False,True
0802824410335,2014-03-24,,4255 Sheridan Ave S,Linden Hills,13,False,3,6,0,8449.75954194,False,False,False
2302924110313,2014-04-07,,700 Central Ave NE,Marcy Holmes,3,False,156,126,192,41625.77453385,True,True,True
