Unnamed: 0,parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn,distance_to_transit,census_tract_id
142,0302824230246,2016-01-11,The Amp House,3255 Garfield Ave S,Lyndale,8,False,4,3,0,5056.94320119,False,False,True,472.08160165750354,27053008200
143,0402824210253,2016-01-11,,3041 Holmes Ave S,ECCO,10,False,9,18,18,11408.94410402,False,True,True,111.57306176554836,27053108000
144,3002923310054,2016-01-11,,117 27th Ave SE,Prospect Park,2,False,195,140,450,88449.1071246,True,False,False,1679.0016111377784,27053104900
145,2702924320031,2016-01-25,Episcopal Commons,1730 Clifton Place,Loring Park,7,True,64,64,30,45419.7961524,False,True,True,194.1666086879922,27053105600
146,2402924140139,2016-03-14,,823 15th Ave SE,Como,2,False,10,6,12,8661.74890979,True,False,False,2487.1142492553454,27053104000
147,2602924231080,2016-03-14,Kraus Anderson Block,501 S 8th St,Elliot Park,7,True,306,213,306,109449.20223003,False,False,True,447.0051266526557,27053105400
148,2302924240109,2016-03-14,Nye's Development,112 E Hennepin Ave,St. Anthony Main,3,False,72,50,48,20143.55419984,False,True,True,18.460288133198784,27053103600
149,3402924330210,2016-03-28,The Lyndy,2903 Harriet Ave S,Whittier,10,False,111,96,127,33895.07191307,False,True,True,209.03468969150865,27053007700
150,3302924110070,2016-03-28,,2008 Bryant Ave S,Lowry Hill East,10,False,10,2,6,6731.17064474,False,True,True,65.67164878475612,27053106700
151,2602924320345,2016-04-11,,1400 Park Ave,Elliot Park,7,True,245,288,126,78085.101412,False,False,True,378.05385501891504,27053105400
152,1102924230136,2016-04-25,Marshall Flats,2525 2nd St NE,Marshall Terrace,1,False,36,9,8,21754.58414902,False,True,True,112.02826701451724,27053100500
153,3402924420484,2016-04-25,,113 E 26th St,Whittier,10,False,70,46,65,29031.31233926,False,False,True,237.0458172460242,27053007801
154,0302824320328,2016-05-09,,3535 Grand Ave S,Lyndale,8,False,24,18,24,15541.30160738,False,False,False,678.4489042444995,27053109300
155,2602924110599,2016-05-23,The Legacy,1220 S 1st St,Mill District,3,True,374,686,374,185968.71055954,False,False,False,844.1450703235664,27053126100
156,3602924220121,2016-05-23,The Bessemer at Seward,2200 Snelling Ave,Seward,6,False,121,95,117,54255.10816986,False,False,True,355.15387505647647,27053106200
157,1602924140164,2016-06-27,Brix Grocery and Deli,915 W Broadway,Near North,5,False,3,0,4,4780.04366394,False,True,True,32.505553456023335,27053102900
158,2702924210227,2016-06-27,PPL YouthLink,41 N 12th St,North Loop,5,True,17,15,50,40360.53404096,False,False,True,319.51460557302516,27053126200
159,1202824120028,2016-06-27,,2707 E 38th St,Standish-Ericsson,12,False,53,44,53,5725.95838275,False,True,True,36.19410201814026,27053110200
160,2502924140021,2016-06-27,The Hub,600 Washington Ave SE,Stadium Village,2,False,438,144,603,12046.45046235,True,False,False,1700.5805709089157,27053104900
161,2202924120125,2016-06-27,Borealis (the ACME lot),721 N 1st St,North Loop,3,True,124,222,200,35882.42880149,False,False,False,1216.5397232903997,27053126200
162,2402924240207,2016-06-27,Spectrum Apts and Townhomes,805 8th St SE,Marcy-Holmes,3,False,118,77,180,74004.44308694,True,False,False,1393.214802277536,27053003800
163,2202824130109,2016-07-18,,5605 Nicollet Ave,Windom,11,False,6,3,3,5050.18518441,False,True,True,26.281950653198223,27053111500
164,2602924240128,2016-08-01,First Covenant Apartments,815 6th St S,Elliot Park,6,True,159,131,86,92715.46509871,False,True,True,88.43061078860818,27053105400
